user_id,age,location_city,location_state,location_country
8,,timmins,ontario,canada
11400,49.0,ottawa,ontario,canada
67544,30.0,toronto,ontario,canada
85526,36.0,victoria,britishcolumbia,canada
96054,29.0,ottawa,ontario,canada
116866,,ottawa,ontario,canada
123629,,kingston,ontario,canada
177458,29.0,ottawa,ontario,canada
200273,,comber,ontario,canada
210926,,guelph,ontario,canada
219008,60.0,halifax,novascotia,canada
263325,27.0,fredericton,newbrunswick,canada
2954,71.0,wichita,kansas,usa
152827,40.0,ottawa,ontario,canada
35704,53.0,kansascity,missouri,usa
83160,65.0,oregoncity,oregon,usa
110912,36.0,milpitas,california,usa
137688,46.0,medford,newyork,usa
157969,30.0,denver,colorado,usa
192665,47.0,vacaville,california,usa
197659,49.0,indiana,pennsylvania,usa
208059,,payson,arizona,usa
209163,,columbus,ohio,usa
29526,26.0,knoxville,tennessee,usa
36836,56.0,raleigh,northcarolina,usa
46398,37.0,sanantonio,texas,usa
49300,,loveland,colorado,usa
49635,,seattle,washington,usa
67958,39.0,idahofalls,idaho,usa
113270,25.0,evanston,illinois,usa
113519,,pleasanton,california,usa
115097,27.0,seattle,washington,usa
136509,31.0,santabarbara,california,usa
148712,,homer,alaska,usa
178269,,harborcity,california,usa
180297,41.0,annarbor,michigan,usa
188589,20.0,klang,selangor,malaysia
194722,,dallas,texas,usa
198013,,sandy,utah,usa
200674,58.0,pittsburg,missouri,usa
207148,42.0,sandiego,california,usa
211919,38.0,jacksonville,florida,usa
212449,,austin,texas,usa
213191,,sandiego,california,usa
230522,52.0,coloradosprings,colorado,usa
236322,,houston,texas,usa
238557,21.0,kualalumpur,kualalumpur,malaysia
242247,42.0,livonia,michigan,usa
245827,,albuquerque,newmexico,usa
248583,,vancouver,britishcolumbia,canada
252282,42.0,sammamish,washington,usa
252921,22.0,renton,washington,usa
255661,34.0,parker,colorado,usa
52614,33.0,toccoa,ga,usa
225910,19.0,annville,pennsylvania,usa
274634,33.0,wahiawa,hawaii,usa
98499,,toronto,ontario,canada
166596,57.0,greenwood,britishcolumbia,canada
189238,,dunedin,otago,newzealand
223066,51.0,ottawa,ontario,canada
92861,,vancouver,britishcolumbia,canada
3363,29.0,knoxville,tennessee,usa
61501,,timmins,ontario,canada
148514,,barstow,california,usa
174304,26.0,stlouis,missouri,usa
177090,37.0,ashland,missouri,usa
256233,,glenallen,virginia,usa
263256,,knoxville,tennessee,usa
176875,31.0,tampere,pirkanmaa,finland
213915,29.0,sheffield,england,unitedkingdom
35826,,prosperity,southcarolina,usa
226745,38.0,humble,texas,usa
9,,germantown,tennessee,usa
243,,ardenhills,minnesota,usa
388,35.0,nashville,tennessee,usa
2977,25.0,richland,washington,usa
3329,,grantsville,utah,usa
6795,31.0,portland,oregon,usa
7346,49.0,sunnyvale,california,usa
7352,53.0,houston,texas,usa
9419,,somewhere,texas,usa
9747,,ofallon,missouri,usa
9856,22.0,glendale,california,usa
11224,51.0,tumwater,washington,usa
12685,,charlotte,northcarolina,usa
12923,39.0,louisville,kentucky,usa
13552,32.0,cordova,tennessee,usa
13582,29.0,lisboa,lisboa,portugal
14521,,providence,rhodeisland,usa
16666,,rogersville,tennessee,usa
16795,47.0,mechanicsville,maryland,usa
17761,,pinckney,michigan,usa
19445,,selden,newyork,usa
20435,62.0,fairhope,alabama,usa
20462,,bossiercity,louisiana,usa
20801,29.0,riodejaneiro,riodejaneiro,brazil
20916,,elmwood,massachusetts,usa
21264,31.0,northbrunswick,newjersey,usa
23511,56.0,chapelhill,northcarolina,usa
23768,45.0,stlouis,missouri,usa
26240,,sacramento,california,usa
26544,37.0,woodbridge,virginia,usa
26593,,peoria,illinois,usa
27684,,knox,pennsylvania,usa
28123,,indiuanapolis,indiana,usa
28619,,hartford,connecticut,usa
29654,42.0,offenbach,hessen,germany
30487,40.0,newburypark,california,usa
30533,,charleston,southcarolina,usa
31299,74.0,homercity,pennsylvania,usa
31315,34.0,henryville,indiana,usa
31556,51.0,chulavista,california,usa
31560,,charleston,southcarolina,usa
31694,,chulavista,california,usa
32516,44.0,strose,louisiana,usa
35857,36.0,mentor,ohio,usa
35859,,duluth,minnesota,usa
36606,39.0,sanmarcos,california,usa
37874,43.0,williamsburg,virginia,usa
38718,,aloha,oregon,usa
38991,68.0,cumby,texas,usa
39345,47.0,jacksonville,florida,usa
39646,35.0,fairlesshills,pennsylvania,usa
